epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4634,1.77686,2.16683,1.94492,0.01187,0.51072,0.00925,0.00368,2.38625,inf,3.61299,0.000654088,0.000654088,0.000654088
2,85.0253,1.85553,2.06726,1.97948,0.13258,0.25603,0.08762,0.02915,2.83787,12.6495,3.36333,0.00131204,0.00131204,0.00131204
3,125.897,1.87151,2.09948,2.02453,0.07214,0.09517,0.02601,0.00886,nan,nan,nan,0.00196119,0.00196119,0.00196119
4,166.965,1.83299,2.09182,1.98778,0.16033,0.26542,0.0955,0.02712,2.72038,5.6773,3.28898,0.0019604,0.0019604,0.0019604
5,202.747,1.81056,2.07241,1.99266,0.13679,0.11528,0.04368,0.01424,3.19168,5.3647,3.52955,0.0019472,0.0019472,0.0019472
6,224.988,1.73782,1.9724,1.90882,0.23668,0.42493,0.21459,0.09051,1.81284,5.0644,2.0344,0.001934,0.001934,0.001934
7,266.099,1.72561,1.93302,1.89933,0.45807,0.48391,0.41525,0.18577,1.85422,1.89569,1.97424,0.0019208,0.0019208,0.0019208
8,299.807,1.66955,1.87192,1.848,0.42994,0.44181,0.40193,0.16894,1.98259,1.97349,2.02466,0.0019076,0.0019076,0.0019076
9,323.513,1.64813,1.79084,1.82769,0.51033,0.51131,0.45288,0.22046,1.75336,2.32344,1.91107,0.0018944,0.0018944,0.0018944
10,357.482,1.66279,1.81831,1.83989,0.53058,0.52145,0.53354,0.25535,1.76807,1.78448,1.91601,0.0018812,0.0018812,0.0018812
11,397.923,1.60213,1.76707,1.8092,0.59959,0.50382,0.53715,0.25482,1.81263,1.84628,1.9289,0.001868,0.001868,0.001868
12,437.483,1.62631,1.74822,1.80214,0.53829,0.53083,0.52889,0.25922,1.80256,1.70948,1.90884,0.0018548,0.0018548,0.0018548
13,476.22,1.57461,1.69326,1.78162,0.6217,0.52652,0.58732,0.28323,1.804,1.59134,1.91691,0.0018416,0.0018416,0.0018416
14,510.937,1.58077,1.64869,1.77661,0.58528,0.52145,0.52899,0.23258,2.0227,1.70436,2.09664,0.0018284,0.0018284,0.0018284
15,544.954,1.57536,1.65745,1.79137,0.55072,0.43029,0.45988,0.2027,1.9767,1.84938,2.10251,0.0018152,0.0018152,0.0018152
16,568.702,1.52746,1.60974,1.7428,0.60248,0.56568,0.60718,0.30489,1.72999,1.53751,1.8479,0.001802,0.001802,0.001802
17,597.449,1.59779,1.67247,1.74834,0.63275,0.62466,0.65743,0.33139,1.66256,1.41071,1.78334,0.0017888,0.0017888,0.0017888
18,630.586,1.56354,1.63875,1.74806,0.549,0.56702,0.50934,0.26413,1.61554,1.49238,1.75425,0.0017756,0.0017756,0.0017756
19,659.963,1.53918,1.60633,1.72737,0.56358,0.60069,0.61069,0.32381,1.67986,1.51535,1.79498,0.0017624,0.0017624,0.0017624
20,687.048,1.55276,1.59645,1.73755,0.60064,0.64113,0.62605,0.28294,1.87479,1.5419,1.948,0.0017492,0.0017492,0.0017492
21,719.584,1.55469,1.60053,1.74405,0.59964,0.6059,0.6153,0.31177,1.65306,1.50545,1.78264,0.001736,0.001736,0.001736
22,751.885,1.53842,1.58816,1.72778,0.54865,0.51165,0.49146,0.2393,1.77843,1.67652,1.90777,0.0017228,0.0017228,0.0017228
23,780.912,1.51874,1.55072,1.71763,0.5837,0.62023,0.62265,0.31566,1.70072,1.43703,1.79181,0.0017096,0.0017096,0.0017096
24,809.41,1.5006,1.49634,1.69038,0.65373,0.64788,0.6998,0.36067,1.67317,1.29816,1.74977,0.0016964,0.0016964,0.0016964
25,839.027,1.50993,1.49439,1.72327,0.52842,0.60382,0.57839,0.28767,1.77881,1.52449,1.86908,0.0016832,0.0016832,0.0016832
26,867.527,1.51576,1.52209,1.72507,0.6054,0.62332,0.64055,0.34623,1.62323,1.36725,1.74352,0.00167,0.00167,0.00167
27,896.384,1.48518,1.5277,1.68973,0.60594,0.63271,0.64499,0.32531,1.777,1.38513,1.84286,0.0016568,0.0016568,0.0016568
28,925.695,1.47624,1.47995,1.71222,0.66104,0.65147,0.70191,0.38015,1.57348,1.25832,1.71905,0.0016436,0.0016436,0.0016436
29,954.853,1.51324,1.51046,1.70999,0.66155,0.56859,0.62812,0.30912,1.80643,1.39182,1.84991,0.0016304,0.0016304,0.0016304
30,984.522,1.51038,1.5035,1.6829,0.65381,0.64611,0.69002,0.38201,1.56901,1.26547,1.69064,0.0016172,0.0016172,0.0016172
31,1013.74,1.47163,1.44223,1.67241,0.68536,0.61902,0.67523,0.34564,1.75704,1.33338,1.8211,0.001604,0.001604,0.001604
32,1042.68,1.44549,1.42281,1.66857,0.67597,0.70912,0.72994,0.36068,1.76216,1.24338,1.83604,0.0015908,0.0015908,0.0015908
33,1071.01,1.45891,1.44389,1.67617,0.63948,0.54424,0.58076,0.26463,1.99387,1.59372,2.04181,0.0015776,0.0015776,0.0015776
34,1097.42,1.44979,1.42144,1.66968,0.67107,0.63271,0.70493,0.36896,1.63116,1.23351,1.74553,0.0015644,0.0015644,0.0015644
